Index,Alphabet,Link,ScrapeStatus
186,a,https://www.hindigeetmala.net/singer/arun_ingle.php,Done
188,a,https://www.hindigeetmala.net/singer/arya.php,Done
190,a,https://www.hindigeetmala.net/singer/a_band_of_boys.php,Done
192,a,https://www.hindigeetmala.net/singer/aarti_ankalikar.php,Done
194,a,https://www.hindigeetmala.net/singer/abhishek_bachchan.php,Done
196,a,https://www.hindigeetmala.net/singer/abhishek_kumar.php,Done
198,a,https://www.hindigeetmala.net/singer/ajay_gogavale.php,Done
200,a,https://www.hindigeetmala.net/singer/anees_khatoon.php,Done
202,a,https://www.hindigeetmala.net/singer/arvinder_singh.php,Done
204,a,https://www.hindigeetmala.net/singer/aakanksha_sharma.php,Done
206,a,https://www.hindigeetmala.net/singer/amit_gupta.php,Done
208,a,https://www.hindigeetmala.net/singer/arko.php,Done
210,a,https://www.hindigeetmala.net/singer/arjuna_harjai.php,Done
212,a,https://www.hindigeetmala.net/singer/aashiq_hussain.php,Done
214,a,https://www.hindigeetmala.net/singer/aastha_gill.php,Done
216,a,https://www.hindigeetmala.net/singer/aditya_jassi.php,Done
218,a,https://www.hindigeetmala.net/singer/ahmed_jehanzeb.php,Done
220,a,https://www.hindigeetmala.net/singer/aishwarya_majmudar.php,Done
222,a,https://www.hindigeetmala.net/singer/akhtaribai_faizabadi.php,Done
224,a,https://www.hindigeetmala.net/singer/ali_quli_mirza.php,Done
226,a,https://www.hindigeetmala.net/singer/allah_rakha.php,Done
228,a,https://www.hindigeetmala.net/singer/aneek_dhar.php,Done
230,a,https://www.hindigeetmala.net/singer/anupam_roy.php,Done
232,a,https://www.hindigeetmala.net/singer/arif_lohar.php,Done
234,a,https://www.hindigeetmala.net/singer/arzoo_bano.php,Done
236,a,https://www.hindigeetmala.net/singer/afzal_sabri.php,Done
238,a,https://www.hindigeetmala.net/singer/ajay_devgan.php,Done
240,a,https://www.hindigeetmala.net/singer/akasa_singh.php,Done
242,a,https://www.hindigeetmala.net/singer/akshay_verma.php,Done
244,a,https://www.hindigeetmala.net/singer/asha_kapoor.php,Done
246,a,https://www.hindigeetmala.net/singer/ashok_khare.php,Done
248,a,https://www.hindigeetmala.net/singer/aaman_trikha.php,Done
250,a,https://www.hindigeetmala.net/singer/ahmed_hussain.php,Done
252,a,https://www.hindigeetmala.net/singer/ali_azmat.php,Done
254,a,https://www.hindigeetmala.net/singer/amaan_ali_khan.php,Done
256,a,https://www.hindigeetmala.net/singer/ameeta_parsuram.php,Done
258,a,https://www.hindigeetmala.net/singer/amjad_khan.php,Done
260,a,https://www.hindigeetmala.net/singer/anand_bakshi.php,Done
262,a,https://www.hindigeetmala.net/singer/anee_chatterjee.php,Done
264,a,https://www.hindigeetmala.net/singer/anupam_kher.php,Done
266,a,https://www.hindigeetmala.net/singer/anupama.php,Done
268,a,https://www.hindigeetmala.net/singer/arijit_datta.php,Done
270,a,https://www.hindigeetmala.net/singer/arun.php,Done
272,a,https://www.hindigeetmala.net/singer/aruni_bagga.php,Done
274,a,https://www.hindigeetmala.net/singer/arya_acharya.php,Done
276,a,https://www.hindigeetmala.net/singer/astitva_the_band.php,Done
278,a,https://www.hindigeetmala.net/singer/atul_kale.php,Done
280,a,https://www.hindigeetmala.net/singer/avadhoot_gupte.php,Done
282,a,https://www.hindigeetmala.net/singer/ayaan_ali_khan.php,Done
284,a,https://www.hindigeetmala.net/singer/a.r._rahman.php,Done
286,a,https://www.hindigeetmala.net/singer/ahan_shah.php,Done
288,a,https://www.hindigeetmala.net/singer/akon.php,Done
290,a,https://www.hindigeetmala.net/singer/ali_aslam.php,Done
292,a,https://www.hindigeetmala.net/singer/amal_malik.php,Done
294,a,https://www.hindigeetmala.net/singer/amartya_rahut.php,Done
296,a,https://www.hindigeetmala.net/singer/anand_kumar.php,Done
298,a,https://www.hindigeetmala.net/singer/anjana.php,Done
300,a,https://www.hindigeetmala.net/singer/anshu_sharma.php,Done
302,a,https://www.hindigeetmala.net/singer/anup_ghoshal.php,Done
304,a,https://www.hindigeetmala.net/singer/anupama_raag.php,Done
306,a,https://www.hindigeetmala.net/singer/aparna.php,Done
308,a,https://www.hindigeetmala.net/singer/ashwani_narula.php,Done
310,a,https://www.hindigeetmala.net/singer/aslam.php,Done
312,a,https://www.hindigeetmala.net/singer/atif_afzal.php,Done
314,a,https://www.hindigeetmala.net/singer/abhijeet_srivastava.php,Done
316,a,https://www.hindigeetmala.net/singer/agnel_roman.php,Done
318,a,https://www.hindigeetmala.net/singer/ahmed_dilawar.php,Done
320,a,https://www.hindigeetmala.net/singer/akbar_khan_durrani_peshawari.php,Done
322,a,https://www.hindigeetmala.net/singer/akshay_kumar.php,Done
324,a,https://www.hindigeetmala.net/singer/alia_bhatt.php,Done
326,a,https://www.hindigeetmala.net/singer/amaal_mallik.php,Done
328,a,https://www.hindigeetmala.net/singer/amitabh_narayan.php,Done
330,a,https://www.hindigeetmala.net/singer/amrish_puri.php,Done
332,a,https://www.hindigeetmala.net/singer/anaida.php,Done
334,a,https://www.hindigeetmala.net/singer/anand_bhaskar.php,Done
336,a,https://www.hindigeetmala.net/singer/anirudh_bhola.php,Done
338,a,https://www.hindigeetmala.net/singer/anirudh_ravichander.php,Done
340,a,https://www.hindigeetmala.net/singer/anita_kanwar.php,Done
342,a,https://www.hindigeetmala.net/singer/aparna_mayekar.php,Done
344,a,https://www.hindigeetmala.net/singer/arfaaz_kagalwala.php,Done
346,a,https://www.hindigeetmala.net/singer/arnab_dutta.php,Done
348,a,https://www.hindigeetmala.net/singer/arpana.php,Done
350,a,https://www.hindigeetmala.net/singer/arpita_chakraborty.php,Done
352,a,https://www.hindigeetmala.net/singer/arun_kumar_mukherjee.php,Done
354,a,https://www.hindigeetmala.net/singer/ashish_pandit.php,Done
356,a,https://www.hindigeetmala.net/singer/aamir_ghulam_ali.php,Done
358,a,https://www.hindigeetmala.net/singer/abhilasha_chellam.php,Done
360,a,https://www.hindigeetmala.net/singer/abhishek.php,Done
