CombinedURl,Status
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=France&decade=1910,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=France&decade=1900,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=France&decade=1890,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=France&decade=1860,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Italy&decade=2020,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Italy&decade=2010,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Italy&decade=2000,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Italy&decade=1990,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Italy&decade=1980,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Italy&decade=1970,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Italy&decade=1960,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Italy&decade=1950,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Italy&decade=1940,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Italy&decade=1930,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Italy&decade=1920,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Italy&decade=1910,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Italy&decade=1900,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Italy&decade=1890,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Italy&decade=1860,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Europe&decade=2020,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Europe&decade=2010,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Europe&decade=2000,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Europe&decade=1990,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Europe&decade=1980,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Europe&decade=1970,NotDone
https://www.discogs.com/search/?limit=250&layout=sm&type=master&genre_exact=Rock&country_exact=Europe&decade=1960,NotDone
